timestamp,tick,subheat,active_tasks,remaining_qty,tenders_seen,tenders_accepted,net_pos,gross_pos,pnl
2026-02-10T20:27:02,589,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:03,590,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:04,591,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:05,592,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:06,593,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:07,594,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:08,595,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:09,596,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:10,597,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:11,598,1,0,0,0,0,0,0,19185.05
2026-02-10T20:27:12,599,1,0,0,0,0,0,0,19185.05
2026-02-10T20:28:19,1,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:20,2,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:21,3,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:22,4,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:23,5,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:24,6,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:25,7,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:26,8,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:27,9,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:28,10,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:29,11,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:30,12,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:31,13,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:32,14,1,0,0,0,0,0,0,0.0
2026-02-10T20:28:33,15,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:34,16,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:35,17,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:36,18,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:37,19,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:38,20,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:39,21,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:40,22,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:41,23,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:42,24,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:43,25,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:44,26,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:45,27,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:46,28,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:47,29,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:48,30,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:49,31,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:50,32,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:51,33,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:52,34,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:53,35,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:54,36,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:55,37,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:56,38,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:57,39,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:58,40,1,0,0,1,0,0,0,0.0
2026-02-10T20:28:59,41,1,0,0,1,0,0,0,0.0
